Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
Hong Kong-2,M,28.0,HKG,2004 Summer,2004,Table Tennis,Table Tennis Men's Doubles,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Humbug V,M,32.0,SWE,1964 Summer,1964,Sailing,Sailing Mixed Two Person Keelboat,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Hungary,M,30.0,HUN,1992 Summer,1992,Fencing,"Fencing Men's Sabre, Team",Silver,30-34,432.0,330.0,365.0,1127.0,2321.0,2,High Probability
Hungary-1,F,21.0,HUN,1948 Winter,1948,Figure Skating,Figure Skating Mixed Pairs,Silver,20-24,0.0,2.0,6.0,8.0,10.0,0,Low Probability
Hurlingham-2,M,35.0,GBR,1908 Summer,1908,Polo,Polo Men's Polo,Silver,35-39,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Iceland,M,28.0,ISL,2008 Summer,2008,Handball,Handball Men's Handball,Silver,25-29,0.0,15.0,2.0,17.0,32.0,0,Low Probability
Independent Rowing Club-3,M,26.0,USA,1904 Summer,1904,Rowing,Rowing Men's Double Sculls,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
India,M,30.0,IND,1928 Summer,1928,Hockey,Hockey Men's Hockey,Gold,30-34,138.0,19.0,40.0,197.0,492.0,0,Low Probability
Individual Olympic Athletes,M,49.0,IOA,2016 Summer,2016,Shooting,Shooting Men's Double Trap,Gold,45-49,1.0,1.0,3.0,5.0,8.0,0,Low Probability
Indonesia,F,21.0,INA,2016 Summer,2016,Weightlifting,Weightlifting Women's Flyweight,Silver,20-24,7.0,11.0,9.0,27.0,52.0,0,Low Probability
